"","error","sample.fraction","mtry","min.node.size","honesty.fraction","honesty.prune.leaves","alpha","imbalance.penalty"
"43",502.973027096511,0.116848997445777,17,207,0.799608767684549,0,0.197710390959401,0.778092767693668
"44",488.154633157644,0.276428068848327,2,2,0.513195849419571,1,0.206876386422664,3.14661892695701
"45",498.980591771963,0.275209896895103,14,282,0.75464540857356,1,0.120766008098144,0.886076479804184
"46",491.216713369762,0.348569187580142,21,117,0.565101431752555,1,0.186402354913298,2.69605294952319
"47",475.38108070149,0.438009645859711,13,20,0.703254605503753,0,0.202190572046675,0.481547701790313
"48",503.672152499692,0.137050682969857,3,58,0.670398955047131,0,0.151139496651012,1.17664509390617
"49",481.062614387982,0.121534846455324,35,4,0.54878960584756,0,0.125242423091549,0.503619599072114
"50",500.529529428613,0.105459135584533,19,108,0.748547457368113,1,0.111686228658073,1.5909748398822
"51",493.076100029426,0.366627330658957,20,191,0.584979653521441,1,0.164088349964004,0.447135455024898
"52",462.444944110857,0.374537129839882,35,2,0.788089238968678,1,0.232357546512503,1.07214183688775
"53",489.657051231154,0.252837277285289,28,51,0.548953390889801,1,0.18063486990286,0.284931393054172
"54",481.80628800358,0.181124369765166,14,2,0.749442694778554,1,0.247252549510449,0.504775625347635
"55",479.254632562625,0.492335411196109,28,81,0.78383990121074,0,0.166841121157631,0.661593241545882
"56",491.603724423291,0.109332701482344,5,3,0.624340764735825,1,0.084503636287991,0.260269932671001
"57",490.761800353421,0.0792857333901338,32,16,0.53579829770606,1,0.0740884529077448,0.705758666351892
"58",474.552006240397,0.446294638409745,26,37,0.709067349950783,1,0.00325375609099865,3.10059696901363
"59",480.324384624124,0.32032116628252,15,21,0.535953830415383,1,0.0802359385997988,0.910782711878256
"60",484.03589280984,0.270150348590687,28,31,0.688124819542281,0,0.219326991238631,0.0259448382540325
"61",460.809475209297,0.470212122716475,13,1,0.763432602887042,0,0.101000385766383,2.25849009635259
"62",465.395720724622,0.312088855251204,35,4,0.667624551034532,0,0.0479986862046644,0.167322472661145
"63",471.910526680155,0.206707332679071,16,1,0.67198385077063,0,0.0519576387596317,0.566910405496362
"64",474.606401433671,0.492869398568291,8,8,0.537264477601275,1,0.223406028177124,0.167351372449851
"65",493.212349440777,0.373471808282193,14,161,0.687231539725326,1,0.122429151262622,2.00600589253637
"66",463.295910833463,0.31146756868111,19,3,0.711701637040824,1,0.0213158595724963,0.147453805968295
"67",499.49509825052,0.312487258424517,12,267,0.668689840706065,1,0.239025353977922,0.921802224824786
"68",454.77454706189,0.392987644684035,35,1,0.624515282036737,0,0.100341767829377,0.286030384993231
"69",465.197754764893,0.422341745276935,12,4,0.661824461095966,0,0.0345114361261949,0.947171682684287
"70",476.050909806493,0.460146166326012,14,23,0.530253232899122,1,0.216485951794311,0.421505662056788
"71",503.117579077505,0.0652428278699517,23,189,0.601710562990047,0,0.0338822830235586,0.560562590773059
"72",484.401602546916,0.412410145555623,5,17,0.600966595392674,0,0.207706368179061,1.25654237243565
"73",455.153557746968,0.499075659329537,20,2,0.505781538621523,1,0.085709256818518,0.464133946693483
"74",458.6320866475,0.443772205442656,14,1,0.786303715477698,0,0.0263828954775818,0.0139361795237842
"75",499.633543105742,0.0540183567791246,5,38,0.783108217571862,0,0.0304456789162941,1.33244394720829
"76",489.371338385496,0.0901166692026891,17,10,0.731458761612885,0,0.109890877909493,0.596041841500399
"77",499.548175016772,0.174857679882552,23,182,0.532298943446949,1,0.0288320717518218,0.866221840054575
"78",496.26188801467,0.0892052175942809,5,14,0.674964869953692,0,0.0564106215606444,0.00442993027721319
"79",495.997972490462,0.124837376864161,2,7,0.68531315929722,1,0.114877483632881,3.68772885631698
"80",478.014305123295,0.321157056081574,33,19,0.551094855531119,1,0.128665086871479,3.87017038183392
"81",493.990816581735,0.308425182162318,2,39,0.700084650609642,1,0.0600806050933897,0.057430801840422
"82",494.013847227461,0.4444486833876,9,284,0.57157352513168,0,0.0921176195843145,0.0140225427542443
"83",455.697110111566,0.487477395695169,20,5,0.657716536312364,0,0.0211047939956188,0.366415877301088
"84",480.742351694696,0.323737643531058,22,31,0.530093544092961,0,0.0454989327117801,1.35673646101386
"85",494.185423256199,0.170039376791101,36,58,0.703885946515948,0,0.180390016234014,0.0784136975358853
"86",495.246777641161,0.427180200139992,9,229,0.68851235145703,0,0.219304339203518,0.338919029096537
"87",496.301438934207,0.114630215265788,27,44,0.511826827097684,1,0.145650350954384,0.711882508332238
"88",453.62931684615,0.419951265258715,22,1,0.657148044975475,0,0.094494870165363,0.953144623690696
"89",493.994976751017,0.214733111101668,30,93,0.703064996446483,0,0.0212144766701385,0.790178937879095
"90",480.345822009261,0.129982853296679,36,5,0.68058770080097,1,0.0730437763850205,1.62722677948148
"91",467.857887237126,0.256841298181098,22,3,0.591145134298131,1,0.132965134340338,0.0262225783337296
"92",488.046980616764,0.432116324605886,23,161,0.706203471147455,1,0.174733780208044,1.31874256688742
"93",492.833449838338,0.373325302568264,13,110,0.584522479656152,1,0.235256751533598,1.04862806363303
"94",498.665780092343,0.203763604408596,2,21,0.650865769363008,0,0.160960504843388,0.703365258158665
"95",467.689514882029,0.408229284000117,14,4,0.500234970799647,1,0.204562103026547,0.460752220260663
"96",494.538087102083,0.284284610359464,22,178,0.650899819587357,1,0.0220169889507815,0.543654375207455
"97",493.766137330873,0.457295322325081,10,223,0.603443923313171,0,0.200137964624446,3.28137961872265
"98",491.809362073761,0.137947574898135,21,21,0.548614487145096,1,0.217069554259069,0.631335412794658
"99",488.900093967459,0.306850894889794,22,64,0.659521583840251,1,0.199170791252982,0.969534910108267
"100",498.4893782026,0.0844014566857368,19,46,0.741248362604529,0,0.153617975360248,1.12908556501222
"101",467.920902149517,0.480100369348656,26,19,0.739392268727534,0,0.239216451882385,0.269240377336867
"102",487.979875165557,0.241084540309384,9,20,0.767883578152396,1,0.0317701503518037,1.66214741907071
"103",476.438123417909,0.17705113121774,32,2,0.514435457880609,1,0.169306015712209,5.02633330343692
"104",489.87952090623,0.424308686889708,6,73,0.547207553684711,1,0.0368215919006616,0.300089644788166
"105",475.488427487556,0.158479440456722,36,1,0.742759606963955,0,0.120625549694523,2.50247334606329
"106",455.18006576581,0.384180508076679,31,1,0.642166107194498,1,0.169767959159799,0.931267882698351
"107",488.381205080466,0.229016509454232,9,17,0.63322389733512,1,0.044406721892301,1.04519221613204
"108",489.257602651858,0.122779894457199,11,6,0.645402663364075,0,0.17617398238508,0.114418105314898
"109",462.829489844419,0.487769271165598,32,11,0.74661376173608,0,0.142094376496971,0.70184540291703
"110",493.761989627788,0.48678992446512,4,204,0.744293261179701,1,0.071562044264283,0.435491785837091
"111",487.606642019982,0.236473154032137,26,40,0.582332376856357,1,0.122012830863241,0.0760260914807827
"112",494.96666622371,0.101900197833311,36,39,0.797440950549208,0,0.167125219886657,2.31446973262483
"113",501.681361803874,0.107054297358263,36,272,0.57939095615875,1,0.161104284750763,2.22814663517168
"114",464.562824278323,0.410970638028812,13,3,0.666719924635254,1,0.154743260703981,1.3835509858612
"115",461.765092721361,0.402670212718658,15,2,0.722718807286583,1,0.063044328475371,0.719264665136228
"116",486.730234287813,0.116949433076661,7,1,0.67429783733096,1,0.0803502150811255,1.73394659794049
"117",482.134283636292,0.106173828407191,32,4,0.723899390595034,0,0.162853605113924,1.10730611037518
"118",489.301675238267,0.419728561548982,31,221,0.601490302640013,1,0.067881976312492,0.198496311267606
"119",471.143970670675,0.31731931862887,13,2,0.773609105264768,1,0.165275253995787,0.0895347029870223
"120",468.887294064903,0.262676468933932,30,1,0.732533408910967,0,0.241237725771498,3.02009881168362
"121",493.349085050278,0.404493846627884,16,238,0.566666404390708,1,0.139862314041238,0.204827783824158
"122",487.796980727555,0.446206030691974,30,180,0.622069730400108,0,0.201964301930275,0.0486181216059322
"123",496.263161479473,0.308995403454173,20,226,0.566045232792385,1,0.0985529444878921,1.69411079382861
"124",489.769322116229,0.396361086098477,25,152,0.601981579675339,1,0.236879247822799,0.849950229593964
"125",479.789163926333,0.216960608784575,10,1,0.621468557463959,1,0.144892565323971,2.04141100106091
"126",470.511433623132,0.385793154709972,34,19,0.702947494387627,1,0.0912818399374373,0.0345857719938561
"127",495.692442302659,0.401033842680044,2,152,0.729033209197223,1,0.0270634275511838,0.405871326525061
"128",477.770786508994,0.348354391253088,20,28,0.591434964863583,1,8.17957916297019e-05,0.352592566274827
"129",478.525091570331,0.0829680037219077,26,1,0.643215131713077,0,0.0286781038739718,0.74204779402121
"130",494.998209464393,0.416419849696103,13,267,0.521407817536965,1,0.249708560237195,1.18786425652259
"131",471.894969346512,0.423679574660491,27,23,0.568666796502657,1,0.226535352354404,0.0839612610764133
"132",499.122951006562,0.123665329476353,5,20,0.57114162473008,0,0.185834950301796,5.13434767118203
"133",475.591095264716,0.355903550249059,37,22,0.707593548600562,0,0.0198442320688628,0.509270174831581
"134",461.745098697181,0.342948050401174,20,3,0.560084063420072,1,0.0102548110298812,0.403194688432082
"135",479.95188782709,0.194227318919729,30,8,0.54211048183497,0,0.0818217913620174,0.338081969031502
"136",499.114615943474,0.175464226980694,21,130,0.69257518670056,1,0.122607774857897,0.513291341758434
"137",484.857546279898,0.0809731365414336,14,3,0.770246300310828,0,0.0393857143353671,0.474956041524946
"138",473.402028719055,0.178615070611704,18,1,0.671251129731536,0,0.0408629411831498,1.70586610360264
"139",498.36871486982,0.120725708862301,2,6,0.669667014782317,1,0.217001702694688,0.330773876038231
"140",477.383834694829,0.390900188696105,1,1,0.58071614804212,1,0.00938780937576666,0.0374363611514749
"141",491.741792776714,0.19669777287636,20,44,0.56508007759694,1,0.0549661329714581,1.50773581904938
"142",471.368985518375,0.200736519473139,32,1,0.634237736859359,0,0.185918610659428,0.690894778088927
"143",500.031468908841,0.333704889181536,6,234,0.666021750867367,0,0.153339605953079,1.67989230273631
"144",487.234127389814,0.164487553026993,13,8,0.59502281085588,1,0.142978915479034,0.812303585371612
"145",497.056443862245,0.361711093201302,12,237,0.631835237890482,0,0.230194774456322,0.404416050685614
"146",465.838743143348,0.303473288926762,25,2,0.50672936164774,0,0.244096526701469,0.376618319034608
"147",473.15214595424,0.399332445627078,16,14,0.621735546505079,0,0.17580476088915,1.74579029400912
"148",494.199913589436,0.436405938421376,1,98,0.618897992745042,0,0.0762286217650399,2.06670308492887
"149",497.065736628009,0.065177291969303,31,44,0.665180690935813,1,0.158118152292445,0.026541143359462
"150",502.010981398155,0.112527010624763,18,184,0.766066978964955,0,0.161771562998183,0.10189899078181
"151",458.852947872774,0.364269821799826,18,1,0.782598561747,1,0.0415306203067303,0.0405341008957621
"152",470.452611144018,0.22378957150504,21,1,0.756768888863735,1,0.155700211646035,0.999891915944477
"153",487.613759805759,0.140083584212698,13,5,0.548875392251648,0,0.168648745282553,0.960697588025947
"154",495.811988114245,0.0681936402106658,37,31,0.596167212561704,0,0.141489026136696,0.580596743713823
